Время	ТМИ
6.851	60.638226
6.862	60.638226
6.871	60.638226
6.882	60.638226
6.891	60.638226
6.902	60.638226
6.911	60.638226
6.922	60.638226
6.931	60.638226
6.942	60.638226
6.952	60.88065
6.961	60.88065
6.972	60.88065
6.981	60.638226
6.992	60.88065
7.001	60.638226
7.012	60.638226
7.021	60.638226
7.032	60.638226
7.041	60.638226
7.052	60.638226
7.061	60.638226
7.072	60.638226
7.081	60.638226
7.092	60.638226
7.101	60.638226
7.112	60.638226
7.121	60.638226
7.132	60.638226
7.141	60.638226
7.152	60.638226
7.161	60.638226
7.172	60.638226
7.181	60.638226
7.192	60.638226
7.202	60.638226
7.211	60.638226
7.222	60.638226
7.231	60.638226
7.242	60.638226
7.251	60.638226
7.262	60.638226
7.271	60.638226
7.282	60.638226
7.291	60.638226
7.302	60.638226
7.311	60.638226
7.322	60.638226
7.331	60.638226
7.342	60.638226
7.351	60.638226
7.362	60.638226
7.371	60.638226
7.382	60.638226
7.391	60.638226
7.402	60.638226
7.411	60.638226
7.422	60.638226
7.431	60.638226
7.442	60.638226
7.452	60.638226
7.461	60.638226
7.471	60.638226
7.481	60.638226
7.492	60.638226
7.501	60.638226
7.512	60.638226
7.521	60.638226
7.532	60.638226
7.541	60.638226
7.552	60.638226
7.561	60.638226
7.572	60.638226
7.581	60.638226
7.592	60.638226
7.601	60.638226
7.612	60.638226
7.621	60.638226
7.632	60.638226
7.641	60.638226
7.652	60.638226
7.661	60.638226
7.672	60.638226
7.681	60.638226
7.692	60.638226
7.702	60.638226
7.711	60.638226
7.721	60.638226
7.731	60.638226
7.742	60.638226
7.751	60.638226
7.762	60.638226
7.771	60.638226
7.782	60.638226
7.791	60.638226
7.802	60.638226
7.811	60.638226
7.822	60.638226
7.831	60.638226
7.842	60.638226
7.851	60.638226
7.862	60.638226
7.872	60.638226
7.881	60.638226
7.891	60.638226
7.902	60.638226
7.912	60.638226
7.921	60.638226
7.931	60.638226
7.942	60.638226
7.952	60.638226
7.962	60.638226
7.971	60.638226
7.981	60.638226
7.992	60.638226
8.002	60.88065
8.011	60.88065
8.021	60.638226
8.032	60.638226
8.042	60.88065
8.051	60.638226
8.061	60.638226
8.072	60.638226
8.082	60.638226
8.091	60.638226
8.101	60.638226
8.112	60.638226
8.122	60.638226
8.131	60.638226
8.141	60.638226
8.152	60.638226
8.162	60.88065
8.171	60.88065
8.181	60.638226
8.192	60.88065
8.202	60.638226
8.211	60.638226
8.221	60.638226
8.231	60.638226
8.242	60.638226
8.252	60.638226
8.261	60.638226
8.271	60.638226
8.282	60.638226
8.292	60.638226
8.301	60.638226
8.311	60.638226
8.322	60.638226
8.332	60.638226
8.341	60.638226
8.351	60.638226
8.362	60.638226
8.372	60.638226
8.381	60.638226
8.391	60.638226
8.402	60.638226
8.412	60.638226
8.422	60.638226
8.431	60.638226
8.442	60.638226
8.452	60.638226
8.461	60.638226
8.471	60.638226
8.481	60.638226
8.492	60.638226
8.502	60.638226
8.511	60.638226
8.521	60.638226
8.532	60.638226
8.542	60.638226
8.551	60.638226
8.561	60.638226
8.572	60.638226
8.582	60.638226
8.591	60.638226
8.601	60.638226
8.612	60.638226
8.622	60.638226
8.631	60.638226
8.641	60.638226
8.652	60.638226
8.662	60.638226
8.672	60.638226
8.681	60.638226
8.692	60.638226
8.702	60.638226
8.711	60.638226
8.721	60.638226
8.731	60.638226
8.742	60.638226
8.752	60.638226
8.761	60.638226
8.771	60.638226
8.782	60.638226
8.792	60.638226
8.801	60.638226
8.811	60.638226
8.822	60.638226
8.832	60.638226
8.841	60.638226
8.851	60.638226
8.862	60.638226
8.872	60.638226
8.881	60.638226
8.891	60.638226
8.902	60.638226
8.912	60.638226
8.921	60.638226
8.931	60.638226
8.942	60.638226
8.952	60.638226
8.962	60.638226
8.971	60.638226
8.981	60.638226
8.992	60.638226
9.002	60.638226
9.011	60.638226
9.021	60.638226
9.032	60.638226
9.042	60.638226
9.051	60.638226
9.061	60.638226
9.072	60.638226
9.082	60.638226
9.091	60.638226
9.101	60.638226
9.112	60.638226
9.122	60.638226
9.131	60.638226
9.141	60.638226
9.152	60.638226
9.162	60.638226
9.171	60.638226
9.181	60.638226
9.192	60.638226
9.202	60.638226
9.211	60.88065
9.221	60.638226
9.231	60.638226
9.242	60.88065
9.252	60.638226
9.261	60.638226
9.271	60.638226
9.282	60.638226
9.292	60.638226
9.301	60.638226
9.311	60.638226
9.322	60.638226
9.332	60.638226
9.341	60.638226
9.351	60.638226
9.362	60.88065
9.372	60.88065
9.381	60.638226
9.391	60.88065
9.402	60.638226
9.412	60.638226
9.422	60.638226
9.431	60.638226
9.442	60.638226
9.452	60.638226
9.461	60.638226
9.471	60.638226
9.481	60.638226
9.492	60.638226
9.502	60.638226
9.511	60.638226
9.521	60.638226
9.532	60.638226
9.542	60.638226
9.551	60.638226
9.561	60.638226
9.572	60.638226
9.582	60.638226
9.591	60.638226
9.601	60.638226
9.612	60.638226
9.622	60.638226
9.631	60.638226
9.641	60.638226
9.652	60.638226
9.662	60.638226
9.672	60.638226
9.681	60.638226
9.692	60.638226
9.702	60.638226
9.711	60.638226
